,AgentDQN,AgentDQN_ste,AgentR,AgentR_ste,depth,novelty,expt
0,759.35,51.35,119.88,7.34,0,,1
1,496.1875,57.918485641760434,170.20089285714283,7.835337889913774,1,agent.AddAgentConservative_seed38,1
2,548.3435,56.54665953241904,163.14885714285714,7.532749219228882,2,agent.AddAgentConservative+card.CardDistOdd_seed38,1
3,301.890375,25.96169016547689,189.5602857142857,3.673583809043513,3,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength_seed38,1
4,56.25,35.571453762600285,208.51189285714287,12.936236333611838,4,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict_seed38,1
5,61.625,36.30672939943151,206.40475,12.965794368098882,5,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict+conclude_game.Incentive_seed38,1
6,759.35,51.35,119.88,7.34,0,,2
7,590.46875,60.095949351526464,158.04910714285714,8.15950941894645,1,agent.AddAgentConservative_seed38,2
8,789.140625,56.29650676662632,131.52455357142858,7.674581146891387,2,agent.AddAgentConservative+card.CardDistOdd_seed38,2
9,278.34375,26.93628733613645,192.8705357142857,3.817476343834613,3,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength_seed38,2
10,59.875,36.32069437923611,209.5357142857143,12.8682083937226,4,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict_seed38,2
11,59.875,35.7414651890596,206.65475,12.943959354371248,5,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict+conclude_game.Incentive_seed38,2
12,759.35,51.35,119.88,7.34,0,,3
13,909.34375,65.25316968982295,156.71428571428572,8.147926588910162,1,conclude_game.LuckySeven_seed81,3
14,888.219125,45.33161045240576,,,2,conclude_game.LuckySeven+agent.AgentExchange_seed81,3
15,651.625,35.294340435431735,,,3,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax_seed81,3
16,369.9375,22.205080839996047,,,4,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax+game_element.TournamentLength_seed81,3
17,346.8125,31.75263416636744,,,5,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax+game_element.TournamentLength+card.CardDistLow_seed81,3
18,759.35,51.35,119.88,7.34,0,,4
19,713.15625,58.01384914435098,126.52232142857142,8.297342653370995,1,conclude_game.SeatChanging_seed97,4
20,713.9375,59.88104266104633,126.4375,8.562403360965568,2,conclude_game.SeatChanging+game_element.BigBetChange_seed97,4
21,651.375,61.13029021139286,135.29910714285717,8.746164426131745,3,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch_seed97,4
22,590.203125,67.35685508904898,156.48263888888886,7.4968998250727426,4,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch+agent.AddAgentR_seed97,4
23,658.03125,64.23376410616183,148.86111111111111,7.151765696562486,5,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch+agent.AddAgentR+card.CardDistOdd_seed97,4
24,759.35,51.35,119.88,7.34,0,,5
25,735.984375,56.34370576441708,123.22767857142858,8.065207188569858,1,action.NoFreeLunch_seed12,5
26,689.71875,60.78885422316357,129.83035714285717,8.694292941074671,2,action.NoFreeLunch+game_element.AllOdd_seed12,5
27,769.734375,70.47446252614833,136.48090277777777,7.839747937074723,3,action.NoFreeLunch+game_element.AllOdd+agent.AddAgentR_seed12,5
28,550.59375,69.56525036287759,160.81829166666665,7.746831199992159,4,action.NoFreeLunch+game_element.AllOdd+agent.AddAgentR+card.CardDistColor_seed12,5
29,758.010625,87.40246540807422,175.84375,8.282219065834196,5,action.NoFreeLunch+game_element.AllOdd+agent.AddAgentR+card.CardDistColor+conclude_game.LuckySeven_seed12,5
30,759.35,51.35,119.88,7.34,0,,6
31,667.5405,62.43230329469176,176.46967857142857,8.28047235729596,1,agent.AddAgentStirring_seed63,6
32,274.40625,38.683493451920526,89.10267857142857,4.828041952133623,2,agent.AddAgentStirring+game_element.BuyIn_seed63,6
33,137.25,19.972320640630414,40.75892857142857,4.883100377395965,3,agent.AddAgentStirring+game_element.BuyIn+conclude_game.Incentive_seed63,6
34,151.3125,20.40676035717861,40.66964285714285,4.787197547361689,4,agent.AddAgentStirring+game_element.BuyIn+conclude_game.Incentive+action.NoFreeLunch_seed63,6
35,98.6875,17.657909564103292,45.30803571428571,4.654963801193904,5,agent.AddAgentStirring+game_element.BuyIn+conclude_game.Incentive+action.NoFreeLunch+card.CardDistSuit_seed63,6
36,759.35,51.35,119.88,7.34,0,,7
37,643.75,54.527077090890806,136.36607142857142,7.804579167306349,1,action.ActionHierarchy_seed66,7
38,662.4427499999999,56.60702035116478,133.7395892857143,8.096225639409552,2,action.ActionHierarchy+card.CardDistHigh_seed66,7
39,618.302,58.42283812111992,140.01489285714288,8.365590055078599,3,action.ActionHierarchy+card.CardDistHigh+game_element.AllOdd_seed66,7
40,41.8125,18.07377500576072,,,4,action.ActionHierarchy+card.CardDistHigh+game_element.AllOdd+agent.AgentExchange_seed66,7
41,58.95625,20.035688478229968,,,5,action.ActionHierarchy+card.CardDistHigh+game_element.AllOdd+agent.AgentExchange+conclude_game.SeatChanging_seed66,7
42,759.35,51.35,119.88,7.34,0,,8
43,695.71875,58.61741357606381,128.93303571428572,8.390684219478118,1,card.CardDistLow_seed15,8
44,693.416375,71.78773678886391,129.49398214285716,10.257852599322511,2,card.CardDistLow+action.RoundActionReStrict_seed15,8
45,759.3335000000001,84.42238872522374,119.87946428571428,12.06795478935718,3,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange_seed15,8
46,480.2605,61.41703557632994,105.4643035714286,10.76477093668178,4,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive_seed15,8
47,387.15625,66.28163419191705,161.642875,11.46001377625972,5,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive+agent.AddAgentConservative_seed15,8
48,759.35,51.35,119.88,7.34,0,,9
49,761.8333749999999,57.10425115909723,119.4613392857143,8.169897486949521,1,card.CardDistLow_seed15,9
50,689.048,73.53190350638388,130.11830357142858,10.507317095217791,2,card.CardDistLow+action.RoundActionReStrict_seed15,9
51,565.010125,78.13517487959562,147.7039107142857,11.18028032685207,3,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange_seed15,9
52,479.656,60.866309042904255,108.64285714285715,11.105636065322711,4,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive_seed15,9
53,601.96875,71.55867643245668,124.35714285714285,12.645227145788525,5,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive+agent.AddAgentConservative_seed15,9
54,759.35,51.35,119.88,7.34,0,,10
55,1009.375,70.52347917896797,142.6205535714286,9.423666498800143,1,conclude_game.LuckySeven_seed83,10
56,699.562875,57.198747023430805,128.43,8.18764362131256,2,conclude_game.LuckySeven+card.CardDistHigh_seed83,10
57,666.06225,64.25236043464285,179.27157142857146,8.702783262063827,3,conclude_game.LuckySeven+card.CardDistHigh+agent.AddAgentStirring_seed83,10
58,759.23975,85.0799836830724,158.0878035714286,11.233358904521785,4,conclude_game.LuckySeven+card.CardDistHigh+agent.AddAgentStirring+game_element.BigBlindChange_seed83,10
59,794.156,77.62924746376935,156.62121428571427,10.225802546324516,5,conclude_game.LuckySeven+card.CardDistHigh+agent.AddAgentStirring+game_element.BigBlindChange+action.ActionHierarchy_seed83,10
